Key,Name,Characters
Key,Name,Characters
Cc,Control,65
Cf,Format,161
Co,Private Use,0
Cs,Surrrogate,0
Ll,Lowercase Letter,"2,155"
Lm,Modifier Letter,260
Lo,Other Letter,"127,004"
Lt,Titlecase Letter,31
Lu,Uppercase Letter,"1,791"
Mc,Spacing Mark,443
Me,Enclosing Mark,13
Mn,Nonspacing Mark,"1,839"
Nd,Decimal Number,650
Nl,Letter Number,236
No,Other Number,895
Pc,Connector Punctuation,10
Pd,Dash Punctuation,25
Pe,Close Punctuation,73
Pf,Final Punctuation,10
Pi,Initial Punctuation,12
Po,Other Punctuation,593
Ps,Open Punctuation,75
Sc,Currency Symbol,62
Sk,Modifier Symbol,123
Sm,Math Symbol,948
So,Other Symbol,"6,431"
Zl,Line Separator,1
Zp,Paragraph Separator,1
Zs,Space Separator,17
